Model;Run;File;Class;MethodName;Signature;Has_UC_Annotation;UC_Action;UC_References
ChatGPT-o3;5;ChatGPT-o3_run5.json;UserProfile;validateProfileDetails;+ validateProfileDetails () : ValidationResult;VRAI;validate updated profile data;4.0
ChatGPT-o3;5;ChatGPT-o3_run5.json;WasteJourney;getCurrentLocation;+ getCurrentLocation () : Address;VRAI;retrieve current location;10.0
ChatGPT-o3;5;ChatGPT-o3_run5.json;WasteJourney;getCurrentStatus;+ getCurrentStatus () : TrackingStatus;VRAI;retrieve current journey status;10.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;CollectionPoint;saveChanges;+ saveChanges ();VRAI;persist location changes;19.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;CollectionPoint;validateLocation;+ validateLocation () : ValidationResult;VRAI;validate location data;19.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;NotificationService;sendAccountDeactivation;+ sendAccountDeactivation (user : UserProfile);VRAI;notify account deactivation;15.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;NotificationService;sendCancellationConfirmation;+ sendCancellationConfirmation (user : UserProfile, request : ServiceRequest);VRAI;confirm cancellation;12.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;NotificationService;sendPasswordReset;+ sendPasswordReset (user : UserProfile, token : String);VRAI;send reset link;3.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;NotificationService;sendPasswordResetConfirm;+ sendPasswordResetConfirm (user : UserProfile);VRAI;confirm password reset;3.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;NotificationService;sendRegistrationConfirmation;+ sendRegistrationConfirmation (user : UserProfile);VRAI;send registration success;1.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;NotificationService;sendRequestAccepted;+ sendRequestAccepted (user : UserProfile, request : ServiceRequest);VRAI;notify request accepted;8.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;NotificationService;sendVerificationEmail;+ sendVerificationEmail (user : UserProfile);VRAI;send email verification;1.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;Product;publishListing;+ publishListing ();VRAI;publish listing;5.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;Product;updateListing;+ updateListing (details : Map);VRAI;update listing;13.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;Product;validateListing;+ validateListing () : ValidationResult;VRAI;validate listing;5.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;Product;validateUpdate;+ validateUpdate () : ValidationResult;VRAI;validate updated listing;13.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;RoleManager;assignRole;+ assignRole (target : UserProfile, newRole : UserRole);VRAI;assign role;20.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;RoleManager;validateRoleChange;+ validateRoleChange (target : UserProfile, newRole : UserRole) : ValidationResult;VRAI;validate role change;20.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;SearchFilter;filter;+ filter (products : Product[]) : Product[];VRAI;filter products;14.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;ServiceProvider;checkAvailability;+ checkAvailability (request : ServiceRequest) : Boolean;VRAI;verify capacity/vehicle;8.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;ServiceProvider;dispatchVehicle;+ dispatchVehicle (request : CollectionRequest);VRAI;dispatch for collection;8.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;ServiceProvider;executeTransport;+ executeTransport (request : TransportRequest);VRAI;perform transport;9.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;ServiceProvider;updateProfile;+ updateProfile (details : Map);VRAI;update provider profile;18.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;ServiceRequest;accept;+ accept (provider : ServiceProvider, time : TimeRange);VRAI;accept request;8.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;ServiceRequest;assignToProvider;+ assignToProvider (provider : ServiceProvider);VRAI;assign provider;6.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;ServiceRequest;cancel;+ cancel (requester : UserProfile);VRAI;cancel request;12.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;ServiceRequest;getStatus;+ getStatus () : RequestStatus;VRAI;get current status;11.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;ServiceRequest;markCollected;+ markCollected ();VRAI;mark collected;8.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;ServiceRequest;markCompleted;+ markCompleted ();VRAI;mark completed;9.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;ServiceRequest;schedule;+ schedule (time : TimeRange);VRAI;schedule request;6.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;ServiceRequest;submit;+ submit (requester : UserProfile);VRAI;submit service request;6.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;TransportRequest;planRoute;+ planRoute (routePlan : RoutePlan);VRAI;set route plan;9.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;UserAccount;activateAccount;+ activateAccount ();VRAI;activate account;1.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;UserAccount;deactivate;+ deactivate (reason : String);VRAI;soft-deactivate account;15.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;UserAccount;registerUnverified;+ registerUnverified (profile : UserProfile, credentials : UserCredentials) : UserAccount;VRAI;create unverified account;1.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;UserCredentials;generatePasswordResetToken;+ generatePasswordResetToken (expiry : Date) : String;VRAI;generate reset token;3.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;UserCredentials;recordLogin;+ recordLogin (loginTime : Date);VRAI;record login time;2.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;UserCredentials;resetPassword;+ resetPassword (newPassword : String);VRAI;reset password;3.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;UserCredentials;validatePasswordStrength;+ validatePasswordStrength () : ValidationResult;VRAI;validate password strength;1.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;UserCredentials;verifyPassword;+ verifyPassword (inputPassword : String) : Boolean;VRAI;verify password;2.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;UserProfile;applyProfileChanges;+ applyProfileChanges (details : Map);VRAI;apply profile changes;4.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;UserProfile;validateEmailFormat;+ validateEmailFormat () : ValidationResult;VRAI;validate email format;1.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;UserProfile;validateProfileData;+ validateProfileData () : ValidationResult;VRAI;validate profile update;4.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;UserProfile;verifyEmail;+ verifyEmail ();VRAI;mark email as verified;1.0
ChatGPT-o3;6;ChatGPT-o3_run6.json;WasteJourney;getCurrentStatus;+ getCurrentStatus () : TrackingStatus;VRAI;retrieve journey status;10.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;CollectionPoint;deactivate;+ deactivate ();VRAI;deactivate collection point;19.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;CollectionPoint;updateDetails;+ updateDetails (updated : Map) : ValidationResult;VRAI;edit location info;19.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;CollectionPoint;validateLocation;+ validateLocation () : ValidationResult;VRAI;validate address & hours;19.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;CollectionRequest;markCollected;+ markCollected ();VRAI;update status when waste collected;8.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;Coordinates;distanceTo;+ distanceTo (other : Coordinates) : Float;VRAI;compute distance between two points;14.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;NotificationService;sendAccountDeactivation;+ sendAccountDeactivation (user : UserProfile);VRAI;confirm account deactivation;15.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;NotificationService;sendPasswordResetConfirmation;+ sendPasswordResetConfirmation (user : UserProfile);VRAI;confirm password reset;3.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;NotificationService;sendPasswordResetLink;+ sendPasswordResetLink (user : UserProfile, link : String);VRAI;password reset email;3.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;NotificationService;sendRegistrationSuccess;+ sendRegistrationSuccess (user : UserProfile);VRAI;confirm successful registration;1.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;NotificationService;sendRequestAccepted;+ sendRequestAccepted (user : UserProfile, request : ServiceRequest);VRAI;notify request acceptance;8.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;NotificationService;sendVerificationEmail;+ sendVerificationEmail (user : UserProfile, link : String);VRAI;email verification link;1.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;Product;publish;+ publish ();VRAI;set listingStatus to PUBLISHED;5.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;Product;updateListing;+ updateListing (updatedData : Map) : ValidationResult;VRAI;modify product details;13.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;Product;validateListing;+ validateListing () : ValidationResult;VRAI;ensure product data integrity;5.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;RoleManager;approveServiceProvider;+ approveServiceProvider (provider : ServiceProvider);VRAI;activate provider profile;18.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;RoleManager;deactivateServiceProvider;+ deactivateServiceProvider (provider : ServiceProvider);VRAI;deactivate provider profile;18.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;RoleManager;setUserRole;+ setUserRole (account : UserAccount, newRole : UserRole) : ValidationResult;VRAI;assign / update user role;20.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;SearchFilter;apply;+ apply (products : Product) : Product;VRAI;filter products by criteria;14.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;ServiceProvider;acceptCollectionRequest;+ acceptCollectionRequest (request : CollectionRequest, scheduledTime : TimeRange);VRAI;accept & schedule collection;8.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;ServiceProvider;acceptTransportRequest;+ acceptTransportRequest (request : TransportRequest, scheduledTime : TimeRange);VRAI;accept & schedule transport;9.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;ServiceProvider;checkAvailability;+ checkAvailability (request : ServiceRequest, timeSlot : TimeRange) : Boolean;VRAI;verify capacity for given slot;8.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;ServiceProvider;updateProfile;+ updateProfile (updateData : Map) : ValidationResult;VRAI;update provider profile data;18.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;ServiceRequest;accept;+ accept (provider : ServiceProvider, scheduled : TimeRange);VRAI;accept request & schedule;8.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;ServiceRequest;assignProvider;+ assignProvider (provider : ServiceProvider);VRAI;set handling provider;6.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;ServiceRequest;cancel;+ cancel (requester : UserProfile, reason : String);VRAI;cancel pending request;12.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;ServiceRequest;markCompleted;+ markCompleted ();VRAI;mark request status COMPLETED;8.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;ServiceRequest;reject;+ reject (reason : String);VRAI;decline request;8.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;ServiceRequest;schedule;+ schedule (time : TimeRange);VRAI;set scheduled time & status;6.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;TransportRequest;markDelivered;+ markDelivered ();VRAI;mark transport completed;9.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;TransportRequest;planRoute;+ planRoute (plan : RoutePlan);VRAI;assign route plan;9.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserAccount;authenticate;+ authenticate (password : String) : Boolean;VRAI;verify credentials & role access;2.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserAccount;deactivate;+ deactivate (reason : String);VRAI;soft-deactivate user account;15.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserAccount;initiatePasswordReset;+ initiatePasswordReset ();VRAI;generate reset token & timestamp;3.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserAccount;lockAccount;+ lockAccount (reason : String);VRAI;lock after max failed attempts;2.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserAccount;register;+ register (profile : UserProfile, credentials : UserCredentials) : ValidationResult;VRAI;create account with unverified email;1.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserAccount;verifyEmail;+ verifyEmail (verificationCode : String) : ValidationResult;VRAI;mark email verified & activate;1.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserCredentials;authenticate;+ authenticate (password : String) : Boolean;VRAI;verify password hash;2.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserCredentials;incrementFailedLogin;+ incrementFailedLogin ();VRAI;track failed attempts;2.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserCredentials;recordSuccessfulLogin;+ recordSuccessfulLogin (date : Date);VRAI;timestamp successful login;2.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserCredentials;resetPassword;+ resetPassword (token : String, newPassword : String) : ValidationResult;VRAI;change password via valid token;3.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserCredentials;validatePasswordStrength;+ validatePasswordStrength (password : String) : ValidationResult;VRAI;enforce password policy;1.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserProfile;isEmailVerified;+ isEmailVerified () : Boolean;VRAI;check email verification status;2.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserProfile;updateDetails;+ updateDetails (updatedData : Map) : ValidationResult;VRAI;apply profile changes & timestamp;4.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;UserProfile;validateBasicInfo;+ validateBasicInfo () : ValidationResult;VRAI;validate profile registration data;1.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;WasteJourney;getCurrentStatus;+ getCurrentStatus () : TrackingStatus;VRAI;retrieve journey status;10.0
ChatGPT-o3;7;ChatGPT-o3_run7.json;WasteJourney;updateStage;+ updateStage (stage : Stage, location : Address);VRAI;add stage & update location;10.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;CollectionPoint;applyUpdates;+ applyUpdates (updatedDetails : Map);VRAI;update point details;19.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;CollectionPoint;createPoint;+ createPoint (details : Map) : ValidationResult;VRAI;create new collection point;19.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;CollectionPoint;getDetails;+ getDetails () : Address;VRAI;retrieve location details;21.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;CollectionPoint;validateLocationDetails;+ validateLocationDetails () : ValidationResult;VRAI;validate address and operating hours;19.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;CollectionRequest;accept;+ accept (provider : ServiceProvider, scheduledTime : TimeRange);VRAI;accept and schedule collection;8.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;CollectionRequest;markCollected;+ markCollected ();VRAI;mark request as collected/completed;8.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;CollectionRequest;startCollection;+ startCollection ();VRAI;dispatch team/vehicle;8.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;CollectionRequest;submit;+ submit (requester : UserProfile, location : Address, quantity : Integer, categories : ProductCategory[], proposedTimeSlots : TimeRange[], vehicleType : VehicleType) : ValidationResult;VRAI;submit new collection request;6.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;NotificationService;sendAccountDeactivation;+ sendAccountDeactivation (user : UserProfile);VRAI;notify account deactivation;15.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;NotificationService;sendCancellationConfirmation;+ sendCancellationConfirmation (request : ServiceRequest);VRAI;confirm request cancellation;12.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;NotificationService;sendEmailVerification;+ sendEmailVerification (user : UserProfile);VRAI;send verification email;1.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;NotificationService;sendPasswordReset;+ sendPasswordReset (user : UserProfile, token : String);VRAI;send password reset email;3.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;NotificationService;sendPasswordResetConfirmation;+ sendPasswordResetConfirmation (user : UserProfile);VRAI;confirm password reset;3.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;NotificationService;sendRegistrationSuccess;+ sendRegistrationSuccess (user : UserProfile);VRAI;notify successful registration;1.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;NotificationService;sendRequestAccepted;+ sendRequestAccepted (request : ServiceRequest);FAUX;;
ChatGPT-o3;8;ChatGPT-o3_run8.json;NotificationService;sendRoleChangeNotification;+ sendRoleChangeNotification (user : UserProfile);VRAI;notify user role change;20.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;Product;applyUpdates;+ applyUpdates (newDetails : Map);VRAI;update product listing details;13.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;Product;publish;+ publish (requester : UserProfile);VRAI;publish product listing;5.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;Product;validateListingData;+ validateListingData () : ValidationResult;VRAI;validate product listing data;5.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;RoleManager;assignRole;+ assignRole (user : UserAccount, role : UserRole) : ValidationResult;VRAI;assign or update user role;20.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;SearchFilter;apply;+ apply (products : Product[]) : Product[];VRAI;apply search criteria;14.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;ServiceProvider;activate;+ activate ();VRAI;activate service provider;18.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;ServiceProvider;checkCollectionCapacity;+ checkCollectionCapacity (request : CollectionRequest) : Boolean;VRAI;check capacity for collection request;8.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;ServiceProvider;checkTransportFeasibility;+ checkTransportFeasibility (request : TransportRequest) : Boolean;VRAI;check feasibility for transport request;9.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;ServiceProvider;deactivate;+ deactivate (reason : String);VRAI;deactivate service provider;18.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;ServiceProvider;updateServiceDetails;+ updateServiceDetails (newDetails : Map) : ValidationResult;VRAI;update provider profile details;18.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;ServiceRequest;cancel;+ cancel (requester : UserProfile, date : Date);VRAI;cancel request;12.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;ServiceRequest;getStatus;+ getStatus () : RequestStatus;VRAI;retrieve current request status;11.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;TransportRequest;accept;+ accept (provider : ServiceProvider, schedule : TimeRange, routePlan : RoutePlan);VRAI;accept and schedule transport;9.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;TransportRequest;markCompleted;+ markCompleted ();VRAI;mark transport as completed;9.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;TransportRequest;startTransport;+ startTransport ();VRAI;start transport operation;9.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;TransportRequest;submit;+ submit (requester : UserProfile, routePlan : RoutePlan, quantity : Integer, categories : ProductCategory[], proposedTimeSlots : TimeRange[]) : ValidationResult;VRAI;submit new transport request;6.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserAccount;activate;+ activate ();VRAI;activate account after email verification;1.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserAccount;authorizeLogin;+ authorizeLogin () : UserRole;VRAI;grant access based on role;2.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserAccount;deactivate;+ deactivate (reason : String, date : Date);VRAI;soft deactivate account;15.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserAccount;register;+ register (profile : UserProfile, credentials : UserCredentials) : ValidationResult;VRAI;create new unverified account;1.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserAccount;terminateSession;+ terminateSession (date : Date);VRAI;terminate user session;16.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserCredentials;checkPassword;+ checkPassword (password : String) : Boolean;VRAI;validate credentials;2.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserCredentials;generatePasswordResetToken;+ generatePasswordResetToken () : String;VRAI;generate password reset token;3.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserCredentials;recordLogin;+ recordLogin (date : Date);VRAI;record successful login timestamp;2.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserCredentials;resetPassword;+ resetPassword (newPassword : String);VRAI;update password;3.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserCredentials;validatePasswordStrength;+ validatePasswordStrength () : ValidationResult;VRAI;validate password strength;1.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserProfile;applyUpdates;+ applyUpdates (newData : Map);VRAI;apply profile updates & record timestamp;4.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserProfile;markEmailVerified;+ markEmailVerified ();VRAI;mark email as verified;1.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserProfile;validateEmailFormat;+ validateEmailFormat () : ValidationResult;VRAI;validate email format;1.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;UserProfile;validateUpdatedData;+ validateUpdatedData (newData : Map) : ValidationResult;VRAI;validate updated profile info;4.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;WasteJourney;addStage;+ addStage (stage : Stage, location : Address);FAUX;;
ChatGPT-o3;8;ChatGPT-o3_run8.json;WasteJourney;getCurrentLocation;+ getCurrentLocation () : Address;VRAI;retrieve current location;10.0
ChatGPT-o3;8;ChatGPT-o3_run8.json;WasteJourney;getStatus;+ getStatus () : TrackingStatus;VRAI;retrieve current tracking status;10.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;CollectionPoint;createPoint;+ createPoint (details : Map) : CollectionPoint;VRAI;add new collection point;19.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;CollectionPoint;deactivate;+ deactivate ();VRAI;deactivate collection point;19.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;CollectionPoint;listPoints;+ listPoints (filter : Map) : CollectionPoint[];VRAI;list points for user;21.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;CollectionPoint;updateDetails;+ updateDetails (updatedData : Map);VRAI;edit point details;19.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;CollectionPoint;validateAddress;+ validateAddress () : ValidationResult;VRAI;validate address consistency;19.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;CollectionPoint;viewDetails;+ viewDetails () : Map;VRAI;view point information;21.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;NotificationService;notifyRequestAccepted;+ notifyRequestAccepted (user : UserProfile, request : ServiceRequest);VRAI;notify collection accepted;8.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;NotificationService;notifyTransportAccepted;+ notifyTransportAccepted (user : UserProfile, request : ServiceRequest);VRAI;notify transport accepted;9.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;NotificationService;sendAccountDeactivationEmail;+ sendAccountDeactivationEmail (profile : UserProfile);VRAI;email account deactivation;15.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;NotificationService;sendPasswordResetConfirmation;+ sendPasswordResetConfirmation (profile : UserProfile);VRAI;email reset confirmation;3.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;NotificationService;sendPasswordResetLink;+ sendPasswordResetLink (profile : UserProfile, token : String);VRAI;email reset link;3.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;NotificationService;sendVerificationEmail;+ sendVerificationEmail (profile : UserProfile, token : String);VRAI;email verification link;1.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;Product;applyUpdates;+ applyUpdates (updatedData : Map);VRAI;apply listing changes;13.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;Product;createDraft;+ createDraft (requester : UserProfile, name : String, category : ProductCategory, inventory : Integer, description : String) : Product;VRAI;create draft listing;5.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;Product;findByFilter;+ findByFilter (filter : SearchFilter) : Product[];VRAI;search by filter;14.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;Product;publishListing;+ publishListing ();VRAI;publish listing;5.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;Product;validateListing;+ validateListing () : ValidationResult;VRAI;validate listing data;5.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;Product;validateUpdatedListing;+ validateUpdatedListing () : ValidationResult;VRAI;validate listing updates;13.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;RoleManager;assignRole;+ assignRole (account : UserAccount, newRole : UserRole);VRAI;change user role;20.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;RoleManager;authorizeUser;+ authorizeUser (account : UserAccount);VRAI;grant access for user role;2.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;RoleManager;validateRoleTransition;+ validateRoleTransition (account : UserAccount, newRole : UserRole) : ValidationResult;VRAI;validate role change;20.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;RoutePlan;generateOptimalRoute;+ generateOptimalRoute (waypoints : Coordinates[]) : RoutePlan;VRAI;create optimized route;9.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;SearchFilter;build;+ build (criteria : Map) : SearchFilter;VRAI;construct search filter;14.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceProvider;activate;+ activate ();VRAI;activate provider profile;18.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceProvider;confirmCollectionRequest;+ confirmCollectionRequest (request : CollectionRequest, time : TimeRange);VRAI;accept collection request;8.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceProvider;confirmTransportRequest;+ confirmTransportRequest (request : TransportRequest, time : TimeRange);VRAI;accept transport request;9.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceProvider;deactivate;+ deactivate ();VRAI;deactivate provider profile;18.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceProvider;dispatchCollectionTeam;+ dispatchCollectionTeam (request : CollectionRequest);VRAI;dispatch vehicle/team;8.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceProvider;evaluateCollectionFeasibility;+ evaluateCollectionFeasibility (request : CollectionRequest) : ValidationResult;VRAI;check capacity & timing;8.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceProvider;evaluateTransportFeasibility;+ evaluateTransportFeasibility (request : TransportRequest) : ValidationResult;VRAI;check vehicle/logistics;9.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceProvider;getAvailableProviders;+ getAvailableProviders (type : RequestType, location : Address) : ServiceProvider[];VRAI;list providers matching criteria;7.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceProvider;listPendingCollectionRequests;+ listPendingCollectionRequests () : ServiceRequest[];VRAI;retrieve pending collection requests;8.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceProvider;listPendingTransportRequests;+ listPendingTransportRequests () : ServiceRequest[];VRAI;retrieve pending transport requests;9.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceProvider;operateRoutePlan;+ operateRoutePlan (request : TransportRequest, plan : RoutePlan);VRAI;plan route;9.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceProvider;scheduleService;+ scheduleService (request : ServiceRequest, time : TimeRange);VRAI;accept & schedule request;6.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceProvider;updateProviderProfile;+ updateProviderProfile (updatedData : Map);VRAI;update self profile;18.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceRequest;cancelRequest;+ cancelRequest (user : UserProfile, cancelledDate : Date);VRAI;cancel request;12.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceRequest;getRequestsByRequester;+ getRequestsByRequester (requester : UserProfile) : ServiceRequest[];VRAI;fetch user requests;11.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceRequest;markCollected;+ markCollected (collectedDate : Date);VRAI;set status COLLECTED;8.0
ChatGPT-o3;9;ChatGPT-o3_run9.json;ServiceRequest;markCompleted;+ markCompleted (completedDate : Date);VRAI;set status COMPLETED;9.0
